Webpage,FC Part ID,Item,Description,Source,Source Part Number,onhand,onhold,available,Credits Price,Max Qty
https://firstchoicebyandymark.com/fc-ad-0661,fc-ad-0661,"IMU, SPI (ADIS16470)",,Analog Devices,ADIS16470,2403,0,2403,200,20
https://firstchoicebyandymark.com/fc-ad-7729,fc-ad-7729,Analog Devices Gyro (ADXRS450),,Analog Devices,ADXRS450,456,0,456,20,2
https://firstchoicebyandymark.com/fc-am-1267-5,fc-am-1267-5,"Anchor Bolt Kit, 1/4-20, 1.875 in. long, steel, QTY 5 (am-1267)","Steel bolt, with 1/4-20 threads on one end and a bent shaft on the other.  This fastener is used in the 2013 KOP Chassis Kit, as a mounting and belt tensioning device for mounting the Toughbox Mini.","AndyMark, Inc.",am-1267,371,0,371,5,20
https://firstchoicebyandymark.com/fc-am-2234-4,fc-am-2234-4,Qty 4 of 42 Tooth HTD Pulley (am-2234),This is the 42 tooth pulley used in the AM14U family of chassis. It works with 5 mm pitch HTD timing belts. This pulley has a 1.875 in. bolt circle making it easy to attach to many other motion components. It also has a locking pattern that is compatible with many AndyMark wheels.,"AndyMark, Inc.",am-2234,0,0,0,20,NA
https://firstchoicebyandymark.com/fc-am-2333-20,fc-am-2333-20,"0.125 In. ID 0.188 In. OD 0.25 In. Long Bushing, QTY 20 (am-2333)",Steel sleeve bushing with self-lubricating bearing surface,"AndyMark, Inc.",am-2333,184,0,184,5,20
https://firstchoicebyandymark.com/fc-am-2851-10,fc-am-2851-10,Stee-Rike 3 Plastic Practice Golf Ball (am-2851),,"AndyMark, Inc.",am-2851,361,0,361,5,20
https://firstchoicebyandymark.com/fc-am-2954-4,fc-am-2954-4,"L-Bracket with 2x3 hole pattern, Pack of 4 (am-2954)",This bracket can provide rigidity to your chassis and allows for more mounting locations.,"AndyMark, Inc.",am-2954,0,0,0,5,NA
https://firstchoicebyandymark.com/fc-am-3376-6,fc-am-3376-6,Fuel - Bag of 6 (am-3376-6),,"AndyMark, Inc.",am-3376,332,0,332,5,20
https://firstchoicebyandymark.com/fc-am-3585,fc-am-3585,"Bracket, cryptobox ziptie bracket (am-3585)","The Cable Tie Bracket was a part of the 2017-2018 FIRST Tech Challenge Field, Relic Recovery.","AndyMark, Inc.",am-3585,638,0,638,5,20
https://firstchoicebyandymark.com/fc-am-3775a,fc-am-3775a,AndyMark 775 RedLine Motor (am-3775a),"This motor has a power rating of up to 382W, and is ball-bearing supported, and air cooled.","AndyMark, Inc.",am-3775a,844,0,844,50,2
https://firstchoicebyandymark.com/fc-am-4300-4,fc-am-4300-4,"Ultimate Goal Game Piece, Ring (kit of 4) (am-4300)","These Foam Rings are soft and throw-able, perfect for energetic outside play.","AndyMark, Inc.",am-4300,193,0,193,5,20
https://firstchoicebyandymark.com/fc-am-4675-2,fc-am-4675-2,Hub Angle Bracket GE-22301 (kit of 2) (am-4675),"This 90° Bracket is used on the Upper Hub field element in the 2022 FRC game, RAPID REACT℠ presented by The Boeing Company. This part is also known as GE-22301.","AndyMark, Inc.",am-4675,0,0,0,5,NA
https://firstchoicebyandymark.com/fc-am-4676-4,fc-am-4676-4,Steel Right Angle Bracket GE-22422 (kit of 4) (am-4676),"This 90° Bracket is used on the Upper Hub field element in the 2022 FRC game, RAPID REACT℠ presented by The Boeing Company. This part is also known as GE-22301.","AndyMark, Inc.",am-4676,0,0,0,5,NA
https://firstchoicebyandymark.com/fc-at-4118,fc-at-4118,"Solid state relay, panel mount (AD-SSR6M12-DC-200D)","Solid State relays are a way to control high current ON/OFF applications like strings of LEDs. Easily controlled from the roboRIO digital output, these SPST N.O. SSR6M solid state relays can handle up to 12A of current for any 3 to 200VDC load. They even include thermal mounting pads.",Automation Direct,AD-SSR6M12-DC-200D,146,0,146,20,5
https://firstchoicebyandymark.com/fc-bo-3493,fc-bo-3493,Bosch Seat Motor (6 004 RA3 194-06),This motor is often used in power seats for raising the seat up and down.  It is perfect for precise positioning and not back driving when power is cut. This motor features an integrated hall sensor to enable accurate positioning feedback. With this kit you will recieve a harness to make wiring easier.,Bosch,6 004 RA3 194-06,0,0,0,20,NA
https://firstchoicebyandymark.com/fc-bw-2542,fc-bw-2542,"Radial Wheel Steel Sealed, Size 2 (W2RX)","MadeWell radial wheels are linear guide bearings with single row deep-groove ball arrangement with precision ground 90° vee inside surfaces to support loads and provide smooth and quiet motion. They are an ideal choice for low cost linear guide bearings in simple linear guide applications such as doors and windows, museum displays, cabinets, and automation. Use with DualVee guide track for linear motion. Corrosion resistant stainless steel with rubber seals protect against small particle contamination. Through bore allows mounting with common bolts and washers. Internally lubricated for life with general purpose grease.",Bishop Wisecarver,W2RX,0,0,0,5,NA
https://firstchoicebyandymark.com/fc-bw-3226,fc-bw-3226,"Radial Wheel SS Sealed, Size 3 (W3RSSX)","MadeWell radial wheels are linear guide bearings with single row deep-groove ball arrangement with precision ground 90° vee inside surfaces to support loads and provide smooth and quiet motion. They are an ideal choice for low cost linear guide bearings in simple linear guide applications such as doors and windows, museum displays, cabinets, and automation. Use with DualVee guide track for linear motion. Corrosion resistant stainless steel with rubber seals protect against small particle contamination. Through bore allows mounting with common bolts and washers. Internally lubricated for life with general purpose grease.",Bishop Wisecarver,W3RSSX,0,0,0,20,NA
https://firstchoicebyandymark.com/fc-bw-8497,fc-bw-8497,"DualVee Wheels, Size 2 (sleeve of 9, W2, W2X, or W2SSS)","Nine ball bearings, each sleeve of 9 will be one of the following part numbers: W2, W2X, W2SSS",Bishop Wisecarver,W2W2XW2SSS,0,0,0,20,NA
https://firstchoicebyandymark.com/fc-cs-3395,fc-cs-3395,PSoC 5LP Prototyping Kit (CY8CKIT-059),"PSoC 5LP delivers parallel processing performance with a 24-bit Digital Filter Block (DFB), 24 UDBs and a high-performance DMA controller. PSoC 5LPs controller also integrates AFE, digital logic and user interface ICs with an ARM Cortex-M3 CPU in a one-chip solution.",Cypress,CY8CKIT-059,721,0,721,10,20
https://firstchoicebyandymark.com/fc-da-9284,fc-da-9284,Throttle Motor (AE235100-0160),This is a 12V DC Throttle Motor,Denso,AE235100-0160,1003,0,1003,5,20
https://firstchoicebyandymark.com/fc-ee-2724,fc-ee-2724,Power Connector for Radio (RadioPowerCable),Custom made power connector for radio.,Epec Engineered Technologies,RadioPowerCable,253,0,253,5,20
https://firstchoicebyandymark.com/fc-ep-1016,fc-ep-1016,"Fan, large 4112N/2H7P (4112N2H7P)","Large 12V fan, Product Number 4112N/2H7P",ebm papst,4112N/2H7P ,419,0,419,10,20
https://firstchoicebyandymark.com/fc-ep-2834,fc-ep-2834,"Fan, small, 20mm (pack of 5) (412)","Pack of 5 small 12V fan, 20 mm thick, Part Number: 412",ebm papst,412,1405,0,1405,10,20
https://firstchoicebyandymark.com/fc-ep-2838,fc-ep-2838,"Fan, large (4412 ML)","Large 12V fan, Product Number 4412 ML",ebm papst,4412 ML ,1604,0,1604,10,20
https://firstchoicebyandymark.com/fc-ep-5342,fc-ep-5342,"Compact Fan, 12V, 10mm 412F - QTY 5 (412F)","Pack of 5 small 12V fan, 10 mm thick",ebm papst,412F,1015,0,1015,10,20
https://firstchoicebyandymark.com/fc-ep-6451,fc-ep-6451,"Fan, small (412F-14)","DC axial compact fan, Part Number: 412F",ebm papst,412F-14,1166,0,1166,5,20
https://firstchoicebyandymark.com/fc-fh-5106,fc-fh-5106,"Cargo, from 2022, red (am-4600_red)","CARGO for RAPID REACT℠, the 2022 FRC game",FIRST,am-4600_red,440,0,440,5,20
https://firstchoicebyandymark.com/fc-fh-7837,fc-fh-7837,"Cargo, from 2022, blue (am-4600_blue)","CARGO for RAPID REACT℠, the 2022 FRC game",FIRST,am-4600_blue,424,0,424,5,20
https://firstchoicebyandymark.com/fc-fl-9455,fc-fl-9455,Fluke Test Leads (TL175),Fluke TL175 TwistGuard™ Test Leads,Fluke,TL175,17,0,17,20,2
https://firstchoicebyandymark.com/fc-ia-3421,fc-ia-3421,CIM Motor (am-0255),You will receive a CIM motor stamped from AndyMark.,"AndyMark, Inc.",am-0255,750,0,750,20,20
https://firstchoicebyandymark.com/fc-ig-1103,fc-ig-1103,iglide plastic thrust washer (MTI-10),"iglide® M250 plastic bushings are vibration dampening, rugged and wear resistant. In applications with low speeds, they balance edge loads extremely well and help to minimize noise.",igus,MTI-10,2802,0,2802,5,100
https://firstchoicebyandymark.com/fc-ig-1951,fc-ig-1951,igubal spherical flange bearing (EFOI-10R),"igubal spherical flange bearing - 5/8"" ID",igus,EFOI-10R,362,0,362,5,20
https://firstchoicebyandymark.com/fc-ig-2022,fc-ig-2022,2022 Igus bag (2022 IGUS BAG),,igus,2022 IGUS BAG,146,0,146,50,2
https://firstchoicebyandymark.com/fc-ig-2635,fc-ig-2635,iglide plastic sleeve bearing (JSI-1012-08),"iglide® J plastic bushings combine high wear resistance at low to medium loads and excellent coefficients of friction. They boast extreme dimensional stability, even in moisture-exposed applications.",igus,JSI-1012-08,3218,0,3218,5,100
https://firstchoicebyandymark.com/fc-ig-3271,fc-ig-3271,iglide plastic clip bearing (MCI-06-01),"iglide® clip bearings are designed specifically for when shafts are run through sheet metal plates. For this reason, the bearings have flanges located on both ends so they can be secured on both sides after installation. The clip bearings are slit at an angle, so installation of the bearings is possible from one side. After installation, the bearing opens and forms a lining for the bore hole in the metal plate. The shaft prevents the clip bearing from detaching from the housing. Even during axial movement, the bearing remains secured in the housing. In addition, the lateral slit can compensate for bearing expansions due to temperature or moisture. During expansion, the slit width decreases, and changes so the bearing clearance is minimized. The flange diameter on the smaller side is made to ensure that housings with larger tolerances can be properly secured.",igus,MCI-06-01,4047,0,4047,5,100
https://firstchoicebyandymark.com/fc-ig-5016,fc-ig-5016,igubal spherical rod end bearing (EBRI-10R),"igubal spherical rod end bearing - 5/8"" ID",igus,EBRI-10R,374,0,374,10,20
https://firstchoicebyandymark.com/fc-ig-5193,fc-ig-5193,"igubal spherical flange bearing, pack of 5 (EFOI-16R)","5 PACK of igubal spherical flange bearing - 1"" ID",igus,EFOI-16R,856,0,856,20,20
https://firstchoicebyandymark.com/fc-ig-6502,fc-ig-6502,"chainflex cable, 20 AWG, 3ft (CF9-05-02)",Typical Application Areas:,igus,CF9-05-02,973,0,973,10,20
https://firstchoicebyandymark.com/fc-ig-7118,fc-ig-7118,iglide plastic flange bearing (JFI-1012-08),"iglide® J plastic bushings combine high wear resistance at low to medium loads and excellent coefficients of friction. They boast extreme dimensional stability, even in moisture-exposed applications.",igus,JFI-1012-08,1391,0,1391,5,100
https://firstchoicebyandymark.com/fc-ig-7392,fc-ig-7392,Cable carrier set (050-16-12 & 05-3-038-0),Made to control cable runs in moveable assemblies.,igus,050-16-1205-3-038-0,0,0,0,20,NA
https://firstchoicebyandymark.com/fc-je-2222,fc-je-2222,"JE Hex adapter, Steel, Spline interface (JE-PLG-ADPTR-2)",,Johnson Electric,JE-PLG-ADPTR-2,11,0,11,5,2
https://firstchoicebyandymark.com/fc-je-5412,fc-je-5412,JE Motor Kit (JE-PLG-410 & JE-PLG-ADPTR-2),"This PLG motor (Power Lift Gate) is used in automotive applications to open and close the lift gate in SUV’s etc. In most applications the motor drives a lead screw that provides translational motion. An adapter to convert the motor output to a ½” Hex, standard to FRC teams, is provided. This can also be fabricated but requires precision. Additional parts will be offered for sale through AndyMark.",Johnson Electric,JE-PLG-410JE-PLG-ADPTR-2,283,0,283,20,2
https://firstchoicebyandymark.com/fc-mb-1043,fc-mb-1043,High Performance Ultrasonic Rangefinder - EZ4 (MB1043),"Features of the MB1043, HRLV-MaxSonar-EZ4, include millimeter resolution, the narrowest beam width of any sensor in the HRLV‑MaxSonar‑EZ sensor line, short to long distance detection, range information from 300mm to 5000mm, a 10Hz read rate, and various output options: pulse-width, analog voltage, and a choice of either RS232 or TTL serial.",MaxBotix Inc.,MB1043,1127,0,1127,20,20
https://firstchoicebyandymark.com/fc-mo-5891,fc-mo-5891,SL Sample Kit (367690833),,Molex,367690833,0,0,0,10,NA
https://firstchoicebyandymark.com/fc-ra-1384,fc-ra-1384,Robot Signal Light (i.e. Panel Signal Device) (855PB-B12ME522),"Panel Mount Selectable Steady or Flashing LED, in FRC, aka ""robot signal light""",Rockwell Automation,855PB-B12ME522,942,0,942,50,2
https://firstchoicebyandymark.com/fc-ra-1983,fc-ra-1983,"Limit Switch Kit (802K-MSRS11E, 889N-F5AE-6F)",Large metal IEC style limit switch with metal spring rod and its cable. Switch details are here: ,Rockwell Automation,802K-MSRS11E889N-F5AE-6F,588,0,588,100,20
https://firstchoicebyandymark.com/fc-ra-2046,fc-ra-2046,Limit Switch ONLY (802K-MSRS11E),Large metal IEC style limit switch with metal spring rod.,Rockwell Automation,802K-MSRS11E,2715,0,2715,50,5
https://firstchoicebyandymark.com/fc-ra-3619,fc-ra-3619,"Sensor ONLY, 50mm to 300 mm sensing distance (873M-D18AV300-D4)","The 873M general purpose ultrasonic sensors are designed to detect solid or liquid targets by using sound waves. These sensors feature a compact 18 mm barrel that is only 40 mm long, with straight or right-angle sensing face options, providing enhanced flexibility for areas with limited space. Plus, the 873M offers higher-speed switching than other ultrasonic sensors in the portfolio and features an IP67 rating for harsh-duty environments.",Rockwell Automation,873M-D18AV300-D4,380,0,380,100,5
https://firstchoicebyandymark.com/fc-ra-4109,fc-ra-4109,Photoelectric Sensor (42JT-F5LET1-A2),"The 42JT VisiSight models add flexibility by offering a tactile pushbutton that simplifies sensitivity and parameter setup. This makes the 42JT VisiSight a great solution for applications that require some configuration in order to operate at optimal conditions. The 42JT offers unique ""Auto PNP/NPN"" output that continuously monitors how the load is connected and automatically configures the output for proper operation and output LED to indicate correct output status.",Rockwell Automation,42JT-F5LET1-A2,725,0,725,100,5
https://firstchoicebyandymark.com/fc-ra-5333,fc-ra-5333,"Limit Switch, 802B Compact (802B-CSAAXSXC3)","Limit Switches are used in electrical control systems to sense position. They are actuated by the predetermined motion of a cam, machine component, or piece part. This mechanical motion is then converted to an electrical signal through the actuation of a set of contacts. These signals can be used in the control circuits of solenoids, control relays, and motor starters to control the operation of conveyors, hoists, elevators, machine tools, etc. They are not to be used to directly control a motor",Rockwell Automation,802B-CSAAXSXC3,0,0,0,50,NA
https://firstchoicebyandymark.com/fc-ra-6619,fc-ra-6619,"Ultrasonic Proximity Sensor & cable (889D-F4AE-2, 873M-D18AV300-D4)","The 873M general purpose ultrasonic sensors are designed to detect solid or liquid targets by using sound waves. These sensors feature a compact 18 mm barrel that is only 40 mm long, with straight or right-angle sensing face options, providing enhanced flexibility for areas with limited space. Plus, the 873M offers higher-speed switching than other ultrasonic sensors in the portfolio and features an IP67 rating for harsh-duty environments.",Rockwell Automation,873M-D18AV300-D4889D-F4AE-2,884,0,884,100,20
https://firstchoicebyandymark.com/fc-ra-7322,fc-ra-7322,"Photoelectric Sensor, RightSight (42EF-D2MPAK-F4)","Photoelectric sensor, RightSight product line with 3-500 mm (0.12-20 in.) sensing range.",Rockwell Automation,42EF-D2MPAK-F4,300,0,300,100,5
https://firstchoicebyandymark.com/fc-rv-2691,fc-rv-2691,Spark Max Motor Controller (REV-11-2158),"SPARK MAX is the newest member of the SPARK Motor Controller family. Building on the foundation of the original, SPARK MAX incorporates brushed and brushless DC motor control with PWM, CAN, and USB connectivity.",REV Robotics,REV-11-2158,0,0,0,100,NA
https://firstchoicebyandymark.com/fc-rv-5058,fc-rv-5058,NEO Brushless Motor (REV-21-1650),"NEO offers compact size and reduced weight. Designed to have similar performance characteristics and matching mounting features, NEO can be a drop-in replacement for CIM-style motors.",REV Robotics,REV-21-1650,0,0,0,100,NA
https://firstchoicebyandymark.com/fc-sh-8776,fc-sh-8776,"47mm OD, 17mm ID Bearings (Sleeve of 10) (63032RS)",Tube of 10 Sealed ball bearings,Shuster Corp,63032RS,1085,0,1085,10,10
https://firstchoicebyandymark.com/fc-tb-0035,fc-tb-0035,Motor Megaplate (pack of 2) (TTB-0035),,ThriftyBot,TTB-0035,0,0,0,20,NA
https://firstchoicebyandymark.com/fc-tb-1042,fc-tb-1042,Bearing Megaplate (pack of 2) (TTB-0042),"A companion plate to the Thrifty Motor Megaplate specifically for holding 1.125"" bearings. This 4mm thick 6061 aluminum black anodized plate still includes a 2"" mounting pattern for planetary gearboxes and includes two .164"" holes for adding 5/32 rivets or #8 bolts to help retain the bearing",ThriftyBot,TTB-0042,0,0,0,20,NA
https://firstchoicebyandymark.com/fc-tb-2172,fc-tb-2172,"Plastic Hex Spacers, 1/2 in. OD, 1/2 in. thick, pack of 50 (TTB-0017-1-2)",Half inch hex spacers are extremely useful for positioning components along a shaft.,ThriftyBot,TTB-0017-1-2,0,0,0,20,NA
https://firstchoicebyandymark.com/fc-tb-3034,fc-tb-3034,"Aluminum insert, hex, 1/2 in, for 3D prints (pack of 5) (TTB-0034)","This ¼” 6061 aluminum part is designed to eliminate worries of stripped 1/2"" hex holes in 3D printed parts. Press these inserts into pulleys, wheels, and gears 3D printed from your material of choice.",ThriftyBot,TTB-0034,0,0,0,20,NA
https://firstchoicebyandymark.com/fc-tb-4174,fc-tb-4174,"Plastic Hex Spacers, 1/2 in. OD, 1/4 in. thick, pack of 50 (TTB-0017-1-4)",Half inch hex spacers are extremely useful for positioning components along a shaft.,ThriftyBot,TTB-0017-1-4,0,0,0,20,NA
https://firstchoicebyandymark.com/fc-tb-6176,fc-tb-6176,"Plastic Hex Spacers, 1/2 in. OD, 1/16 in. thick, pack of 50 (TTB-0017-1-16)",Half inch hex spacers are extremely useful for positioning components along a shaft.,ThriftyBot,TTB-0017-1-16,0,0,0,20,NA
https://firstchoicebyandymark.com/fc-tb-7032,fc-tb-7032,2 Inch Thrifty Squish Wheels (pack of 10) (TTB-0032),These wheels are commonly used by competitive robotics teams to move game pieces throughout their robot.,ThriftyBot,TTB-0032,0,0,0,50,NA
https://firstchoicebyandymark.com/fc-tb-8178,fc-tb-8178,"Plastic Hex Spacers, 1/2 in. OD, 1/8 in. thick, pack of 50 (TTB-0017-1-8)",Half inch hex spacers are extremely useful for positioning components along a shaft.,ThriftyBot,TTB-0017-1-8,0,0,0,20,NA
https://firstchoicebyandymark.com/fc-tm-0010,fc-tm-0010,"Light duty Miniature Pillow Block Bearing with nylon bearing ball, 5/8in shaft size (BDN10)","Light duty Miniature Pillow Block Bearing with nylon bearing ball. Self-aligning. Manufactured in 16-gauge galvanized steel, for light duty, medium speeds and low loads, Shaft size: 5/8"". This Triangle bearing is often used in vending machines and appliances.",Triangle Manufacturing,BDN10,568,0,568,5,5
https://firstchoicebyandymark.com/fc-tm-1085,fc-tm-1085,"Lazy Susan Bearing, 4 in. (4C8135)","4 Inch Lazy Susan Turntable Bearing, Stamped steel Size: 4"" Square, 5/16"" Height, mounting plates for strength and durability, with a load capacity of 300 lbs. Lazy susan turntable bearings are used around the world in rotating displays, amusement parks, assembly stands, computer monitors, cabinets, exercise equipment, table top servers, and more.",Triangle Manufacturing,4C8135,150,0,150,5,5
https://firstchoicebyandymark.com/fc-tm-1510,fc-tm-1510,"Light duty Miniature Pillow Block Bearing with sintered iron bearing ball, 5/8in shaft size (BD1510P)","Light duty Miniature Pillow Block Bearing with sintered iron bearing ball. Self-Lubricating. Manufactured in 16-gauge galvanized steel, for light duty, medium speeds and low loads, Shaft size: 1/2"". This bearing is permanently lubricated, giving it the ability to be automatically self-aligning. This ability prevents the shaft from becoming jammed when it comes in contact with other objects in the environment. This Triangle bearing is used in things like rock tumblers, skid steer foot controls, food processing equipment and small conveyors.",Triangle Manufacturing,BD1510P,479,0,479,5,5
https://firstchoicebyandymark.com/fc-tm-4008,fc-tm-4008,"Light duty miniature Pillow Block Bearing with nylon bearing ball, 1/2in shaft size (BDN8)","Light duty miniature Pillow Block Bearing with nylon bearing ball. Self-aligning. Manufactured in 16-gauge galvanized steel, for light duty, medium speeds and low loads, Shaft size: 1/2"". This Triangle bearing is often used in vending machines and appliances.",Triangle Manufacturing,BDN8,320,0,320,5,5
https://firstchoicebyandymark.com/fc-tm-5081,fc-tm-5081,"Light duty Miniature Pillow Block Bearing with sintered iron bearing ball, 1/2in shaft size (BD1508P","Light duty Miniature Pillow Block Bearing with sintered iron bearing ball. Self-Lubricating. Manufactured in 16-gauge galvanized steel, for light duty, medium speeds and low loads, Shaft size: 1/2"". This bearing is permanently lubricated, giving it the ability to be automatically self-aligning. This ability prevents the shaft from becoming jammed when it comes in contact with other objects in the environment. This Triangle bearing is used in things like rock tumblers, skid steer foot controls, food processing equipment and small conveyors.",Triangle Manufacturing,BD1508P,304,0,304,5,5
https://firstchoicebyandymark.com/fc-tm-6000,fc-tm-6000,"Light duty Two-Bolt Side Flange Mounted Unit, Nylon Ball Bearing, 3/8in shaft size (FMN6)","Light duty Two-Bolt Side Flange Mounted Unit, Nylon Ball Bearing. Manufactured in 16 gauge galvanized steel, self-aligning, can be flush mounted. Shaft size: 3/8”. These Triangle bearings are good for light duty applications, such as lawn mowers, small conveyors and vending machines.",Triangle Manufacturing,FMN6,556,0,556,5,5
